get switch value,get base input,get arm input,get gripper input,publish base,publish arm,publish gripper,publish servo,,
3.34E-06,1.17E-05,2.65E-05,9.06E-05,0.000181675,0.000125408,0.012034178,5.01E-06,,
5.72E-06,1.12E-05,2.41E-05,4.48E-05,0.000180244,0.000126362,0.017535925,4.53E-06,,
2.86E-06,1.36E-05,2.62E-05,5.03E-05,0.000193119,0.000154495,0.010439396,5.01E-06,,
0.001926661,1.24E-05,2.72E-05,5.34E-05,0.000180483,0.000123978,0.013491392,4.05E-06,,
3.81E-06,1.24E-05,2.60E-05,5.17E-05,0.000191212,0.000127077,0.010209799,4.77E-06,,
3.34E-06,1.05E-05,2.00E-05,4.51E-05,0.00017643,0.000126123,0.013913155,5.96E-06,,
3.34E-06,1.29E-05,2.93E-05,5.41E-05,0.000291348,0.000626802,0.012871027,5.01E-06,,
2.86E-06,1.12E-05,2.69E-05,4.74E-05,0.000174046,0.000147343,0.011991739,2.86E-06,,
3.81E-06,1.31E-05,2.88E-05,5.27E-05,0.000202894,0.000129938,0.010855675,5.72E-06,,
3.10E-06,1.10E-05,2.10E-05,4.53E-05,0.000178576,0.000127077,0.017529011,4.77E-06,,
3.34E-06,1.26E-05,2.86E-05,5.29E-05,0.000274658,0.000188828,0.013780832,5.96E-06,,
3.58E-06,1.29E-05,2.86E-05,5.29E-05,0.000207424,0.000155687,0.018700361,5.72E-06,,
3.10E-06,1.26E-05,2.60E-05,5.08E-05,0.000187874,0.000146151,0.011710167,5.48E-06,,
3.58E-06,1.17E-05,2.19E-05,4.91E-05,0.000186205,0.000150204,0.014863014,3.58E-06,,
3.34E-06,1.24E-05,2.55E-05,5.03E-05,0.000499964,0.000385046,0.012316942,4.77E-06,,
4.77E-06,1.17E-05,2.84E-05,5.03E-05,0.000187635,0.000194788,0.012178898,3.81E-06,,
3.34E-06,1.53E-05,3.31E-05,6.27E-05,0.000224113,0.000132561,0.011767149,3.81E-06,,
3.81E-06,1.29E-05,2.98E-05,5.08E-05,0.000213146,0.000223398,0.013091326,5.25E-06,,
3.10E-06,1.12E-05,1.93E-05,4.17E-05,0.000183105,0.000147343,0.013194323,5.25E-06,,
3.81E-06,1.29E-05,8.01E-05,5.79E-05,0.000219345,0.000175238,0.008317947,4.29E-06,,
4.53E-06,1.57E-05,3.43E-05,0.000118971,0.00032115,0.000316858,0.014144659,8.11E-06,,
7.63E-06,2.17E-05,4.94E-05,9.37E-05,0.000373125,0.000334263,0.012441635,1.03E-05,,
8.34E-06,2.74E-05,5.84E-05,0.000106573,0.000484228,0.000468731,0.014187574,1.03E-05,,
0.008680582,2.24E-05,5.20E-05,9.89E-05,0.000386477,0.000364304,0.010429621,1.00E-05,,
6.44E-06,2.10E-05,0.000128031,0.000100374,0.000381708,0.00032711,0.019193649,8.58E-06,,
7.87E-06,2.19E-05,4.79E-05,9.27E-05,0.000375748,0.000509262,0.011195183,1.00E-05,,
9.06E-06,2.74E-05,5.98E-05,0.000107288,0.002221346,0.001969814,0.011258841,8.82E-06,,
7.63E-06,2.43E-05,5.48E-05,9.47E-05,0.000388384,0.00035429,0.012700319,9.54E-06,,
7.15E-06,2.19E-05,4.84E-05,9.44E-05,0.000363827,0.000335217,0.013990402,2.86E-06,,
2.91E-05,1.65E-05,3.27E-05,6.70E-05,0.000253439,0.000171185,0.015379906,4.29E-06,,
4.29E-06,1.86E-05,3.72E-05,7.80E-05,0.000850439,0.000465631,0.012927771,5.96E-06,,
7.15E-06,1.57E-05,3.62E-05,5.75E-05,0.000260115,0.000246525,0.012880802,6.68E-06,,
4.05E-06,1.81E-05,3.77E-05,6.75E-05,0.000267267,0.000289679,0.013834715,5.96E-06,,
4.05E-06,1.79E-05,7.34E-05,6.56E-05,0.000301361,0.000184774,0.013447285,4.77E-06,,
3.81E-06,1.38E-05,2.67E-05,5.53E-05,0.000205278,0.000134945,0.013291121,5.48E-06,,
3.58E-06,1.10E-05,2.03E-05,4.53E-05,0.000181198,0.000126123,0.012794256,4.77E-06,,
